Prueba 1
N	basico	eficiente
130000	0.061	0.032
150000	0.073	0.04
170000	0.078	0.043
190000	0.09	0.048
210000	0.097	0.053
230000	0.111	0.059
250000	0.116	0.064
270000	0.126	0.074
290000	0.134	0.076
310000	0.143	0.087
330000	0.152	0.086
350000	0.168	0.093
370000	0.171	0.098
390000	0.188	0.1
410000	0.19	0.114
430000	0.201	0.109
Prueba 34
N	basico	eficiente
50000	0.023	0.012
70000	0.032	0.018
90000	0.043	0.023
110000	0.056	0.028
130000	0.06	0.033
150000	0.069	0.038
170000	0.079	0.043
190000	0.095	0.048
210000	0.097	0.053
230000	0.108	0.057
250000	0.118	0.063
270000	0.125	0.068
290000	0.139	0.076
310000	0.143	0.08
330000	0.155	0.088
350000	0.162	0.1
370000	0.172	0.098
390000	0.184	0.1
410000	0.198	0.104
430000	0.21	0.109
Prueba 35
N	basico	eficiente
50000	0.024	0.012
70000	0.032	0.018
90000	0.041	0.022
110000	0.055	0.027
130000	0.06	0.033
150000	0.07	0.039
170000	0.079	0.043
190000	0.09	0.051
210000	0.097	0.053
230000	0.109	0.058
250000	0.12	0.063
270000	0.127	0.068
290000	0.139	0.075
310000	0.143	0.081
330000	0.156	0.085
350000	0.17	0.092
370000	0.173	0.097
390000	0.188	0.103
410000	0.189	0.114
430000	0.202	0.109
Prueba 36
N	basico	eficiente
50000	0.024	0.013
70000	0.032	0.017
90000	0.041	0.022
110000	0.054	0.028
130000	0.06	0.033
150000	0.07	0.04
170000	0.092	0.045
190000	0.092	0.048
210000	0.097	0.053
230000	0.11	0.063
250000	0.116	0.063
270000	0.126	0.069
290000	0.136	0.075
310000	0.143	0.08
330000	0.154	0.088
350000	0.162	0.097
370000	0.172	0.096
390000	0.186	0.101
410000	0.197	0.105
430000	0.201	0.116
Prueba 37
N	basico	eficiente
50000	0.023	0.012
70000	0.032	0.017
90000	0.041	0.023
110000	0.052	0.028
130000	0.06	0.033
150000	0.073	0.041
170000	0.078	0.043
190000	0.09	0.048
210000	0.097	0.068
230000	0.107	0.058
250000	0.116	0.063
270000	0.127	0.079
290000	0.134	0.076
310000	0.143	0.088
330000	0.152	0.086
350000	0.163	0.099
370000	0.171	0.099
390000	0.181	0.108
410000	0.189	0.108
430000	0.208	0.109
Prueba 38
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.017
90000	0.041	0.022
110000	0.052	0.03
130000	0.062	0.033
150000	0.069	0.042
170000	0.079	0.043
190000	0.091	0.048
210000	0.101	0.053
230000	0.108	0.058
250000	0.115	0.068
270000	0.13	0.068
290000	0.134	0.086
310000	0.143	0.082
330000	0.152	0.092
350000	0.163	0.091
370000	0.171	0.102
390000	0.181	0.101
410000	0.196	0.105
430000	0.202	0.109
Prueba 39
N	basico	eficiente
50000	0.023	0.012
70000	0.037	0.017
90000	0.041	0.023
110000	0.054	0.028
130000	0.06	0.033
150000	0.07	0.04
170000	0.079	0.047
190000	0.09	0.048
210000	0.097	0.054
230000	0.107	0.062
250000	0.115	0.063
270000	0.125	0.073
290000	0.134	0.08
310000	0.144	0.087
330000	0.153	0.086
350000	0.168	0.092
370000	0.171	0.097
390000	0.183	0.101
410000	0.19	0.113
430000	0.2	0.109
Prueba 40
N	basico	eficiente
50000	0.023	0.014
70000	0.032	0.018
90000	0.044	0.024
110000	0.055	0.027
130000	0.06	0.033
150000	0.069	0.04
170000	0.082	0.043
190000	0.091	0.048
210000	0.096	0.053
230000	0.112	0.058
250000	0.115	0.063
270000	0.13	0.068
290000	0.134	0.076
310000	0.148	0.081
330000	0.152	0.091
350000	0.162	0.093
370000	0.177	0.099
390000	0.181	0.109
410000	0.189	0.105
430000	0.223	0.108
